board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
0,0,65,1,0,91,-591.905,11.8027,1,1,0
0,0,66,1,0,59,-560.138,13.0167,1,1,0
0,0,67,1,0,27,-543.965,11.4125,1,1,0
0,0,68,1,0,115,-631.158,13.7236,1,1,0
0,0,69,1,0,83,-584.325,11.5654,1,1,0
0,0,70,1,0,51,-562.003,12.1639,1,1,0
0,0,71,1,0,19,-542.913,11.2959,1,1,0
0,0,72,1,0,107,-603.632,14.0058,1,1,0
0,0,73,1,0,75,-565.587,11.8108,1,1,0
0,0,74,1,0,43,-555.553,11.966,1,1,0
0,0,75,1,0,11,-543.506,11.6751,1,1,0
0,0,76,1,0,99,-597.978,12.3966,1,1,0
0,0,77,1,0,67,-568.63,11.7978,1,1,0
0,0,78,1,0,35,-545.683,11.0722,1,1,0
0,0,79,1,0,3,-524.1,12.2329,1,1,0
0,0,80,1,0,122,-627.839,14.2374,1,1,0
0,0,81,1,0,90,-585.981,11.431,1,1,0
0,0,82,1,0,58,-567.921,10.6087,1,1,0
0,0,83,1,0,26,-552.675,10.5092,1,1,0
0,0,84,1,0,114,-620.261,13.3339,1,1,0
0,0,85,1,0,82,-589.081,11.35,1,1,0
0,0,86,1,0,50,-549.292,10.2161,1,1,0
0,0,87,1,0,18,-536.788,10.3503,1,1,0
0,0,88,1,0,106,-609.032,12.7134,1,1,0
0,0,89,1,0,74,-572.934,11.1711,1,1,0
0,0,90,1,0,42,-550.243,10.2563,1,1,0
0,0,91,1,0,10,-533.137,11.0426,1,1,0
0,0,92,1,0,98,-607.611,11.9439,1,1,0
0,0,93,1,0,66,-574.178,10.8763,1,1,0
0,0,94,1,0,34,-536.315,10.5268,1,1,0
0,0,95,1,0,2,-523.942,12.2257,1,1,0
0,0,96,1,0,121,-620.692,14.106,1,1,0
0,0,97,1,0,89,-586.238,11.6367,1,1,0
0,0,98,1,0,57,-571.759,13.0535,1,1,0
0,0,99,1,0,25,-539.771,12.4662,1,1,0
0,0,100,1,0,113,-619.239,13.4792,1,1,0
0,0,101,1,0,81,-574.939,11.3999,1,1,0
0,0,102,1,0,49,-551.404,11.865,1,1,0
0,0,103,1,0,17,-539.154,11.475,1,1,0
0,0,104,1,0,105,-622.972,14.0223,1,1,0
0,0,105,1,0,73,-577.051,12.4584,1,1,0
0,0,106,1,0,41,-539.049,11.7917,1,1,0
0,0,107,1,0,9,-526.364,11.8745,1,1,0
0,0,108,1,0,97,-595.675,12.0443,1,1,0
0,0,109,1,0,65,-551.552,12.1663,1,1,0
0,0,110,1,0,33,-559.128,11.5017,1,1,0
0,0,111,1,0,1,-514.097,12.8499,1,1,0
0,0,112,1,0,120,-641.738,13.8002,1,1,0
0,0,113,1,0,88,-591.767,11.2884,1,1,0
0,0,114,1,0,56,-561.407,10.4669,1,1,0
0,0,115,1,0,24,-531.576,11.0174,1,1,0
0,0,116,1,0,112,-628.293,13.0996,1,1,0
0,0,117,1,0,80,-592.763,10.7769,1,1,0
